fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
9399c772adc7bcab,d5ae8074631762fc,UFC 228: Woodley vs. Till,"September 08, 2018",81d9df19e255b8b6,Jarred Brooks,546f8599a63c29da,Robert Sanchez,81d9df19e255b8b6,DEC S,3,5:00,Flyweight,False,82,108,2,4,0,8:17,1,0,15,31,7,7,2,4,121,162,1,4,0,4:43,0,0,10,30,6,9,0,1
fdde8777c7ae9769,d86e913c548c07c2,UFC 215: Nunes vs Shevchenko 2,"September 09, 2017",056c493bbd76a918,Henry Cejudo,5aedf14771ca82d2,Wilson Reis,056c493bbd76a918,KO/TKO,2,0:25,Flyweight,False,39,64,2,2,1,0:45,0,0,24,47,7,8,3,3,5,25,0,1,0,0:00,0,0,4,24,0,0,1,1
222bb2c67a87d312,ece280745f8727b8,UFC 293: Adesanya vs. Strickland,"September 09, 2023",5d1b7e3dd9e11074,Manel Kape,5cdf5339728f580d,Felipe dos Santos,5d1b7e3dd9e11074,DEC U,3,5:00,Flyweight,False,116,186,1,1,1,0:45,0,0,77,137,24,30,11,15,101,310,0,5,0,0:08,0,0,53,215,28,60,18,29
3dc1a6335d890650,5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,"September 13, 2025",c051c2e12d692b8a,Jesus Aguilar,29162be25ebef5f0,Luis Gurule,c051c2e12d692b8a,DEC U,3,5:00,Flyweight,False,87,237,1,5,0,0:38,0,0,35,164,25,43,25,28,73,195,0,5,0,0:21,0,0,43,157,12,18,10,11
a1e193425e716b42,5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,"September 13, 2025",5e9ca8dd7d783a75,Alden Coria,3fa97913cfd205d3,Alessandro Costa,5e9ca8dd7d783a75,KO/TKO,3,0:47,Flyweight,False,77,131,2,2,0,3:18,0,1,34,85,1,3,7,7,14,59,1,4,0,1:24,2,0,7,37,1,6,4,13
78b506e5092a27fd,0c01568b1ac77bff,UFC 306: Riyadh Season Noche UFC,"September 14, 2024",f2900678e98f6d6a,Ronaldo Rodriguez,6d68c1afe954f121,Ode Osbourne,f2900678e98f6d6a,DEC U,3,5:00,Flyweight,False,68,117,1,2,0,9:14,0,1,29,61,1,2,5,6,55,93,1,3,1,1:07,2,1,28,59,4,4,5,5
dae8ad2e03aa4a9a,0c01568b1ac77bff,UFC 306: Riyadh Season Noche UFC,"September 14, 2024",17e97649403ba428,Joshua Van,5ef94841c4bc3f86,Edgar Chairez,17e97649403ba428,DEC U,3,5:00,Flyweight,False,183,276,3,3,0,4:26,0,0,79,155,24,30,15,15,87,197,0,2,0,0:27,1,0,46,145,12,18,21,26
5d3e046b6bcd49f5,8fa2b06572365321,UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023",5ef94841c4bc3f86,Edgar Chairez,31bb0772f21cabd8,Daniel Lacerda,,OTHER,1,3:47,Flyweight,False,12,20,0,0,0,0:14,1,0,0,6,2,3,10,11,8,18,1,2,0,1:19,0,0,1,8,1,3,2,3
36807d8a7ebc84a5,831b937811804dad,UFC Fight Night: Covington vs. Woodley,"September 19, 2020",9ada30894bf04e19,David Dvorak,215a70f073a7b726,Jordan Espinosa,9ada30894bf04e19,DEC U,3,5:00,Flyweight,False,69,147,0,1,0,0:04,0,0,30,90,8,19,30,37,50,162,0,1,0,0:00,0,0,16,119,14,20,20,23
c2a36e996bba3a4a,2dea80c069847321,UFC Fight Night: Hunt vs Nelson,"September 20, 2014",98aa60cf58071fd6,Kyoji Horiguchi,0d0351c20169a499,Jon Delos Reyes,98aa60cf58071fd6,KO/TKO,1,3:48,Flyweight,False,49,62,0,0,0,2:16,0,0,22,34,9,9,0,0,18,30,0,0,0,0:00,0,0,4,16,4,4,5,5
fd3e8f61d8fda839,94a5aaf573f780ad,UFC Fight Night: Rodriguez vs. Stephens,"September 21, 2019",792be9a24df82ed6,Brandon Moreno,b1d19449397541dc,Askar Askarov,792be9a24df82ed6,DEC S,3,5:00,Flyweight,False,70,120,1,1,1,6:25,0,1,28,69,6,12,0,1,53,90,4,11,0,3:59,0,1,24,56,4,5,2,2
d9c0351cd21e40e0,94a5aaf573f780ad,UFC Fight Night: Rodriguez vs. Stephens,"September 21, 2019",de75d1c45a39e221,Sergio Pettis,6e00cfffd54653c4,Tyson Nam,de75d1c45a39e221,DEC U,3,5:00,Flyweight,False,96,253,0,0,0,0:02,0,0,76,224,5,13,15,16,43,173,0,0,0,0:46,0,0,28,149,7,15,5,6
9890835f4c1c6b75,53e533db1b8e9712,UFC 152: Jones vs Belfort,"September 22, 2012",8a304bfd6bf04a57,Demetrious Johnson,80eacd4da0617c57,Joseph Benavidez,8a304bfd6bf04a57,DEC S,5,5:00,Flyweight,True,96,177,5,10,0,2:20,0,0,29,96,33,42,15,18,53,259,0,7,0,3:24,2,0,23,204,12,28,9,18
3b89556b3f177b7b,9211aae062b799d6,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017",b102c26727306ab6,Jussier Formiga,7c3c48cf54a2848e,Yuta Sasaki,b102c26727306ab6,SUB,1,4:30,Flyweight,False,12,27,1,1,0,1:32,2,0,6,18,1,1,2,3,36,54,0,0,0,0:00,0,0,6,16,9,13,1,3
39c16381a9722735,e18012194473e8b0,UFC Fight Night: Cyborg vs. Lansberg,"September 24, 2016",b102c26727306ab6,Jussier Formiga,f53c1f4ceeed8c08,Dustin Ortiz,b102c26727306ab6,DEC U,3,5:00,Flyweight,False,55,90,1,3,0,9:07,2,0,2,27,2,3,4,4,119,188,0,2,0,2:56,0,2,7,53,4,8,2,4
26ac85fc4bee63a6,a4dd5c9a75763295,UFC Fight Night: Barnett vs Nelson,"September 26, 2015",98aa60cf58071fd6,Kyoji Horiguchi,32be4b7f7de1c905,Chico Camus,98aa60cf58071fd6,DEC U,3,5:00,Flyweight,False,80,226,0,5,0,0:20,0,0,59,195,17,26,2,3,66,196,0,3,0,0:24,0,0,53,175,8,14,2,2
9e674a02db6c03c8,e69c5ce12f4e762b,UFC 253: Adesanya vs. Costa,"September 26, 2020",6e15f63b6c2e2c15,Brandon Royval,853eb0dd5c0e2149,Kai Kara-France,6e15f63b6c2e2c15,SUB,2,0:48,Flyweight,False,51,85,0,0,2,1:31,1,0,27,56,7,9,5,6,22,39,0,1,1,1:31,0,0,12,28,1,1,9,9
79c2461046e17eba,3bb030257966b022,UFC 178: Johnson vs Cariaso,"September 27, 2014",8a304bfd6bf04a57,Demetrious Johnson,b2e3aca4cd363477,Chris Cariaso,8a304bfd6bf04a57,SUB,2,2:29,Flyweight,True,47,66,1,1,0,4:42,2,0,12,24,13,15,2,4,13,35,0,1,0,0:03,0,0,1,19,2,3,3,5
47d978a984a163aa,079488710f012779,UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024",e8fe9c15d348e778,Daniel Barez,dc7927cd622676a7,Victor Altamirano,e8fe9c15d348e778,DEC U,3,5:00,Flyweight,False,78,142,0,0,1,1:09,0,0,34,90,18,22,15,18,76,184,0,1,0,0:00,0,0,28,105,28,54,15,18
